"TRUMATCH 1-a","1-a","#e73966"
"TRUMATCH 1-b","1-b","#eb5d79"
"TRUMATCH 1-c","1","#ef7e90"
"TRUMATCH 1-d","1-d","#f29da8"
"TRUMATCH 1-e","1-e","#f7bbc0"
"TRUMATCH 1-f","1-f","#fad5d7"
"TRUMATCH 1-g","1-g","#fdeff0"
"TRUMATCH 1-h","1-h","#fef6f7"
"TRUMATCH 1-a1","1-a1","#dd3962"
"TRUMATCH 1-b1","1-b1","#e15a75"
"TRUMATCH 1-c1","1-c1","#e47a8b"
"TRUMATCH 1-d1","1-d1","#e897a2"
"TRUMATCH 1-e1","1-e1","#ecb4b9"
"TRUMATCH 1-f1","1-f1","#efcccf"
"TRUMATCH 1-d5","1-d5","#bc7d86"
"TRUMATCH 1-e5","1-e5","#bf9499"
"TRUMATCH 1-a2","1-a2","#d2385e"
"TRUMATCH 1-b2","1-b2","#d65770"
"TRUMATCH 1-c2","1-c2","#d97485"
"TRUMATCH 1-d2","1-d2","#dd909b"
"TRUMATCH 1-e2","1-e2","#e0acb1"
"TRUMATCH 1-a5","1-a5","#b33553"
"TRUMATCH 1-b5","1-b5","#b64d61"
"TRUMATCH 1-c5","1-c5","#b96673"
"TRUMATCH 1-a3","1-a3","#c8375b"
"TRUMATCH 1-b3","1-b3","#cb546b"
"TRUMATCH 1-c3","1-c3","#cf707f"
"TRUMATCH 1-d3","1-d3","#d28a94"
"TRUMATCH 1-e3","1-e3","#d5a4a9"
"TRUMATCH 1-a6","1-a6","#aa344f"
"TRUMATCH 1-b6","1-b6","#ac4a5d"
"TRUMATCH 1-c6","1-c6","#ae616d"
"TRUMATCH 1-a4","1-a4","#be3657"
"TRUMATCH 1-b4","1-b4","#c15167"
"TRUMATCH 1-c4","1-c4","#c46b79"
"TRUMATCH 1-d4","1-d4","#c7848d"
"TRUMATCH 1-e4","1-e4","#ca9ca2"
"TRUMATCH 1-a7","1-a7","#9f334b"
"TRUMATCH 1-b7","1-b7","#a24758"
"TRUMATCH 1-c7","1-c7","#a45c67"
"TRUMATCH 2-a","2-a","#e4164c"
"TRUMATCH 2-b","2-b","#e8485f"
"TRUMATCH 2-c","2","#ed6d77"
"TRUMATCH 2-d","2-d","#f19193"
"TRUMATCH 2-e","2-e","#f6b2b1"
"TRUMATCH 2-f","2-f","#fad0ce"
"TRUMATCH 2-g","2-g","#fdedeb"
"TRUMATCH 2-h","2-h","#fef6f5"
"TRUMATCH 2-a1","2-a1","#da194a"
"TRUMATCH 2-b1","2-b1","#de475b"
"TRUMATCH 2-c1","2-c1","#e26972"
"TRUMATCH 2-d1","2-d1","#e78c8e"
"TRUMATCH 2-e1","2-e1","#ebabaa"
"TRUMATCH 2-f1","2-f1","#efc8c6"
"TRUMATCH 2-d5","2-d5","#bb7476"
"TRUMATCH 2-e5","2-e5","#be8d8d"
"TRUMATCH 2-a2","2-a2","#d01c47"
"TRUMATCH 2-b2","2-b2","#d44558"
"TRUMATCH 2-c2","2-c2","#d7656e"
"TRUMATCH 2-d2","2-d2","#dc8688"
"TRUMATCH 2-e2","2-e2","#dfa4a3"
"TRUMATCH 2-a5","2-a5","#b1213f"
"TRUMATCH 2-b5","2-b5","#b43f4d"
"TRUMATCH 2-c5","2-c5","#b7595f"
"TRUMATCH 2-a3","2-a3","#c61e45"
"TRUMATCH 2-b3","2-b3","#c94354"
"TRUMATCH 2-c3","2-c3","#cd6169"
"TRUMATCH 2-d3","2-d3","#d18082"
"TRUMATCH 2-e3","2-e3","#d49c9c"
"TRUMATCH 2-a6","2-a6","#a7233d"
"TRUMATCH 2-b6","2-b6","#aa3d4a"
"TRUMATCH 2-c6","2-c6","#ad555b"
"TRUMATCH 2-a4","2-a4","#bc1f42"
"TRUMATCH 2-b4","2-b4","#bf4151"
"TRUMATCH 2-c4","2-c4","#c35d65"
"TRUMATCH 2-d4","2-d4","#c67a7c"
"TRUMATCH 2-e4","2-e4","#c99595"
"TRUMATCH 2-a7","2-a7","#9d243a"
"TRUMATCH 2-b7","2-b7","#a03b46"
"TRUMATCH 2-c7","2-c7","#a35156"
"TRUMATCH 3-a","3-a","#e8435d"
"TRUMATCH 3-b","3-b","#eb6371"
"TRUMATCH 3-c","3","#ef8288"
