"Ultramark U3501G Weiss","ultramark-u3501g-weiss","#edf1f2"
"Ultramark U3508G Schwarz","ultramark-u3508g-schwarz","#0e1012"
"Ultramark U3507G Mausgrau","ultramark-u3507g-mausgrau","#606566"
"Ultramark U3506G Kieselgrau","ultramark-u3506g-kieselgrau","#868f96"
"Ultramark U3509G Hellgrau","ultramark-u3509g-hellgrau","#a7aeb9"
"Ultramark U3512G Zitronengelb","ultramark-u3512g-zitronengelb","#fbe708"
"Ultramark U3514G Kanariengelb","ultramark-u3514g-kanariengelb","#fdd518"
"Ultramark U3517G Gelb","ultramark-u3517g-gelb","#ffc100"
"Ultramark U3519G Senfgelb","ultramark-u3519g-senfgelb","#ffac00"
"Ultramark U3523G Orange","ultramark-u3523g-orange","#f06600"
"Ultramark U3526G Hellrot","ultramark-u3526g-hellrot","#d83e24"
"Ultramark U3527G Purpurrot","ultramark-u3527g-purpurrot","#c3281a"
"Ultramark U3528G Rot","ultramark-u3528g-rot","#c1141a"
"Ultramark U3530G Kirschrot","ultramark-u3530g-kirschrot","#b6171c"
"Ultramark U3533G Preiselbeerrot","ultramark-u3533g-preiselbeerrot","#8f1e24"
"Ultramark U3534G Weinrot","ultramark-u3534g-weinrot","#7e162b"
"Ultramark U3536G Hellblau","ultramark-u3536g-hellblau","#4ebde7"
"Ultramark U3537G Himmelblau","ultramark-u3537g-himmelblau","#00aac6"
"Ultramark U3542G Wedgwoodblau","ultramark-u3542g-wedgwoodblau","#009fd7"
"Ultramark U3541G Blau","ultramark-u3541g-blau","#008cc4"
"Ultramark U3548G Dunkelblau","ultramark-u3548g-dunkelblau","#005ca2"
"Ultramark U3549G Ultramark Ultramarinblau","ultramark-u3549g-ultramark-ultramarinblau","#00397a"
"Ultramark U3552G Orientblau","ultramark-u3552g-orientblau","#2b4b7c"
"Ultramark U3553G Franzoesischblau","ultramark-u3553g-franzoesischblau","#253b69"
"Ultramark U3556G Apfelgruen","ultramark-u3556g-apfelgruen","#77c241"
"Ultramark U3558G Gelbgruen","ultramark-u3558g-gelbgruen","#3ea600"
"Ultramark U3560G Moosgruen","ultramark-u3560g-moosgruen","#009648"
"Ultramark U3559G Kleegruen","ultramark-u3559g-kleegruen","#009246"
"Ultramark U3563G Gruen","ultramark-u3563g-gruen","#008754"
"Ultramark U3564G Smaragdgruen","ultramark-u3564g-smaragdgruen","#007837"
"Ultramark U3565G Dunkelgruen","ultramark-u3565g-dunkelgruen","#005534"
"Ultramark U3566G Waldgruen","ultramark-u3566g-waldgruen","#124a2d"
"Ultramark U3569G Wasserblau","ultramark-u3569g-wasserblau","#00868a"
"Ultramark U3579G Violett","ultramark-u3579g-violett","#5f3d94"
"Ultramark U3576G Rosa","ultramark-u3576g-rosa","#bb2666"
"Ultramark U3580G Mandel","ultramark-u3580g-mandel","#e6dec7"
"Ultramark U3582G Beige","ultramark-u3582g-beige","#ebce98"
"Ultramark U3593G Braun","ultramark-u3593g-braun","#432a1a"
"Ultramark U3596G Silber metallic","ultramark-u3596g-silber-metallic","#85888a"
"Ultramark U3597G Gold metallic","ultramark-u3597g-gold-metallic","#8e7339"
