"Ultramark U5708G Schwarz","ultramark-u5708g-schwarz","#090b0d"
"Ultramark U5708M Schwarz","ultramark-u5708m-schwarz","#262728"
"Ultramark U5701G Weiss","ultramark-u5701g-weiss","#f4f5f9"
"Ultramark U5701M Weiss","ultramark-u5701m-weiss","#f6f5fb"
"Ultramark U5710G Perlgrau","ultramark-u5710g-perlgrau","#cfd0d0"
"Ultramark U5711G Lichtgrau","ultramark-u5711g-lichtgrau","#a9aaa8"
"Ultramark U5705G Taubengrau","ultramark-u5705g-taubengrau","#959891"
"Ultramark U5707G Hellanthrazit","ultramark-u5707g-hellanthrazit","#616767"
"Ultramark U5798G Dunkelgrau","ultramark-u5798g-dunkelgrau","#4d4e4f"
"Ultramark U5712G Zitronengelb","ultramark-u5712g-zitronengelb","#fae000"
"Ultramark U5713G Zinkgelb","ultramark-u5713g-zinkgelb","#ffc900"
"Ultramark U5716G Gelb","ultramark-u5716g-gelb","#ffbd00"
"Ultramark U5718G Melonengelb","ultramark-u5718g-melonengelb","#ffaa00"
"Ultramark U5720G Aprikot","ultramark-u5720g-aprikot","#ffa100"
"Ultramark U5721G Pastellorange","ultramark-u5721g-pastellorange","#ff7700"
"Ultramark U5723G Orange","ultramark-u5723g-orange","#f06600"
"Ultramark U5725G Warmrot","ultramark-u5725g-warmrot","#d8321c"
"Ultramark U5726G Hellrot","ultramark-u5726g-hellrot","#d73c26"
"Ultramark U5731G Feuerrot","ultramark-u5731g-feuerrot","#d32c0f"
"Ultramark U5727G Rot","ultramark-u5727g-rot","#c02714"
"Ultramark U5729G Tomatenrot","ultramark-u5729g-tomatenrot","#bf221e"
"Ultramark U5733G Scharlachrot","ultramark-u5733g-scharlachrot","#c42431"
"Ultramark U5730G Rot","ultramark-u5730g-rot","#ae161e"
"Ultramark U5732G Karminrot","ultramark-u5732g-karminrot","#a10312"
"Ultramark U5734G Weinrot","ultramark-u5734g-weinrot","#691b29"
"Ultramark U5736G Leichtblau","ultramark-u5736g-leichtblau","#57b7e0"
"Ultramark U5737G Himmelblau","ultramark-u5737g-himmelblau","#00acc8"
"Ultramark U5740G Olympiablau","ultramark-u5740g-olympiablau","#0096d1"
"Ultramark U5741G Blau","ultramark-u5741g-blau","#0089c0"
"Ultramark U5743G Brillantblau","ultramark-u5743g-brillantblau","#0067b0"
"Ultramark U5746G Leuchtendblau","ultramark-u5746g-leuchtendblau","#3349bc"
"Ultramark U5747G Reflexblau","ultramark-u5747g-reflexblau","#1e4a9f"
"Ultramark U5748G Dunkelblau","ultramark-u5748g-dunkelblau","#005396"
"Ultramark U5749G Ultramarinblau","ultramark-u5749g-ultramarinblau","#00387d"
"Ultramark U5750G Kobaltblau","ultramark-u5750g-kobaltblau","#1b244f"
"Ultramark U5751G Mitternachtsblau","ultramark-u5751g-mitternachtsblau","#181d2e"
"Ultramark U5754G Lindgruen","ultramark-u5754g-lindgruen","#81d028"
"Ultramark U5758G Gelbgruen","ultramark-u5758g-gelbgruen","#41a800"
"Ultramark U5762G Verkehrsgruen","ultramark-u5762g-verkehrsgruen","#009456"
"Ultramark U5763G Minzgruen","ultramark-u5763g-minzgruen","#007d3f"
"Ultramark U5765G Dunkelgruen","ultramark-u5765g-dunkelgruen","#00502f"
"Ultramark U5769G Wasserblau","ultramark-u5769g-wasserblau","#008685"
"Ultramark U5768G Tuerkis","ultramark-u5768g-tuerkis","#00a59a"
"Ultramark U5767G Tuerkisblau","ultramark-u5767g-tuerkisblau","#00a0a7"
"Ultramark U5771G Rosa","ultramark-u5771g-rosa","#f590c3"
"Ultramark U5776G Pink","ultramark-u5776g-pink","#bc2466"
"Ultramark U5773G Lila","ultramark-u5773g-lila","#a07ec9"
"Ultramark U5779G Violett","ultramark-u5779g-violett","#5f3c92"
"Ultramark U5782G Beige","ultramark-u5782g-beige","#ecd09b"
"Ultramark U5794G Braun","ultramark-u5794g-braun","#422919"
"Ultramark U5797G Gold metallic","ultramark-u5797g-gold-metallic","#928052"
"Ultramark U5796G Silber metallic","ultramark-u5796g-silber-metallic","#8d9091"
"Ultramark U5799G Anthrazit metallic","ultramark-u5799g-anthrazit-metallic","#525250"
