"Harmonious Rose","1004-2A","rgb(241, 157, 183)"
"Flower Girl","1005-1C","rgb(243, 152, 175)"
"Sweet Sixteen","1006-2A","rgb(242, 159, 171)"
"Peach Burst","1008-1C","rgb(243, 153, 152)"
"Salmon Rose","2003-3C","rgb(231, 150, 139)"
"Coral Reef","2004-4A","rgb(246, 164, 148)"
"Poppy Petal","2001-1C","rgb(246, 160, 140)"
"Simply Coral","2001-2A","rgb(248, 176, 156)"
"Apricot Jam","2005-4A","rgb(245, 169, 144)"
"Coral Ridge","2003-6A","rgb(229, 158, 133)"
"Iced Berry","1004-1C","rgb(230, 127, 155)"
"So Charming","1005-1B","rgb(234, 125, 150)"
"Poppy Field","1006-1C","rgb(230, 136, 143)"
"Strawberry Pink","2001-3C","rgb(217, 135, 139)"
"Powder Peach","1007-1C","rgb(225, 134, 132)"
"Sweet Melon","1008-1B","rgb(234, 130, 128)"
"Coral Passion","2001-1B","rgb(238, 138, 120)"
"Desert Rose","2004-3C","rgb(231, 146, 127)"
"Sweetly Singing","2005-3C","rgb(225, 142, 120)"
"Orange Slice","2002-1B","rgb(240, 138, 100)"
"Frosty Berry","1003-1B","rgb(221, 118, 153)"
"Peruvian Pom Pom","1006-3C","rgb(206, 124, 148)"
"Reflecting Rose","1007-3B","rgb(214, 128, 149)"
"Passion Pink","1006-1B","rgb(224, 110, 120)"
"Rouge Red","1007-1B","rgb(221, 121, 119)"
"Amber Rose","2003-3B","rgb(219, 132, 120)"
"Flamenco Pink","2004-3B","rgb(218, 120, 103)"
"Ripe Pomegranate","2009-3","rgb(229, 116, 90)"
"Spanish Dancer","2005-3B","rgb(220, 125, 102)"
"Island Orange","2010-2","rgb(230, 108, 53)"
"Hint of Cherry","1004-1B","rgb(218, 104, 132)"
"Pink Burst","1003-1A","rgb(213, 94, 123)"
"Sonora Rose","2002-3B","rgb(200, 108, 109)"
"Cuban Plaza","2001-5B","rgb(196, 114, 111)"
"Blaze Orange","1008-1A","rgb(223, 101, 93)"
"Rhapsody","2002-5C","rgb(194, 123, 113)"
"Ultra Orange","2010-3","rgb(222, 99, 80)"
"Autumn Enchantment","2001-1A","rgb(228, 107, 84)"
"Autumn Blaze","2002-1A","rgb(225, 100, 66)"
"Roasted Squash","2006-3A","rgb(212, 116, 74)"
"Berrylicious","1005-1A","rgb(211, 78, 95)"
"Playful Pink","2001-3B","rgb(192, 110, 113)"
"Scarlet Sun","1011-1","rgb(210, 75, 66)"
