"Vikunyl 15","vikunyl-15","#c5ae48"
"Vikunyl 320","vikunyl-320","#feb600"
"Vikunyl 340","vikunyl-340","#f36d00"
"Vikunyl 480","vikunyl-480","#ad0004"
"Vikunyl 680","vikunyl-680","#0087be"
"Vikunyl 761","vikunyl-761","#00b250"
"Vikunyl 940","vikunyl-940","#7a756f"
"Vikunyl 1236","vikunyl-1236","#ffca3e"
"Vikunyl 1244","vikunyl-1244","#eed584"
"Vikunyl 2036","vikunyl-2036","#f17852"
"Vikunyl 3051","vikunyl-3051","#c7503c"
"Vikunyl 3053","vikunyl-3053","#a93c42"
"Vikunyl 4550","vikunyl-4550","#c24949"
"Vikunyl 5046","vikunyl-5046","#90bdce"
"Vikunyl 5047","vikunyl-5047","#007db6"
"Vikunyl 5048","vikunyl-5048","#264561"
"Vikunyl 6046","vikunyl-6046","#8cb894"
"Vikunyl 7100","vikunyl-7100","#50b04f"
"Vikunyl 7945","vikunyl-7945","#335f54"
"Vikunyl 7050","vikunyl-7050","#cfcfc1"
"Vikunyl 9010","vikunyl-9010","#c8c8c2"
"Vikunyl 8620","vikunyl-8620","#614e43"
"Vikunyl 9700","vikunyl-9700","#373839"
"Vikunyl 2330","vikunyl-2330","#fade78"
"Vikunyl 3710","vikunyl-3710","#e16045"
"Vikunyl 9270","vikunyl-9270","#808485"
"Vikunyl 2710","vikunyl-2710","#ead05d"
"Vikunyl 6400","vikunyl-6400","#195f9f"
"Vikunyl 6900","vikunyl-6900","#324d70"
"Vikunyl 7610","vikunyl-7610","#007c56"
"Vikunyl 9160","vikunyl-9160","#abadae"
"Vikunyl 8430","vikunyl-8430","#7b5446"
"Vikunyl 2400","vikunyl-2400","#face00"
"Vikunyl 3660","vikunyl-3660","#d65920"
"Vikunyl 4630","vikunyl-4630","#991a11"
"Vikunyl 6800","vikunyl-6800","#114685"
"Vikunyl 7260","vikunyl-7260","#008636"
"Vikunyl 9075","vikunyl-9075","#ecece7"
"Vikunyl 1015","vikunyl-1015","#e8ede1"
"Vikunyl 1309","vikunyl-1309","#edeeea"
"Vikunyl 1522 OFFSET","vikunyl-1522-offset","#eef2f6"
