"S 0560-Y","s-0560-y","#fccf4d"
"S 0570-Y","s-0570-y","#f7cb21"
"S 0580-Y","s-0580-y","#ffcc00"
"S 1070-Y","s-1070-y","#e8bb17"
"S 1080-Y","s-1080-y","#e7b500"
"S 2070-Y","s-2070-y","#c79913"
"S 3060-Y","s-3060-y","#ab882d"
"S 0560-Y10R","s-0560-y10r","#ffc550"
"S 0570-Y10R","s-0570-y10r","#ffc125"
"S 0580-Y10R","s-0580-y10r","#ffb900"
"S 1070-Y10R","s-1070-y10r","#efb026"
"S 1080-Y10R","s-1080-y10r","#f2ad00"
"S 2070-Y10R","s-2070-y10r","#d3971d"
"S 3060-Y10R","s-3060-y10r","#b28228"
"S 0560-Y20R","s-0560-y20r","#ffb853"
"S 0570-Y20R","s-0570-y20r","#ffb239"
"S 0585-Y20R","s-0585-y20r","#ffa700"
"S 0580-Y20R","s-0580-y20r","#fea500"
"S 1080-Y20R","s-1080-y20r","#ee9700"
"S 2070-Y20R","s-2070-y20r","#d28920"
"S 3060-Y20R","s-3060-y20r","#b97d36"
"S 0560-Y30R","s-0560-y30r","#ffac59"
"S 0570-Y30R","s-0570-y30r","#ff9e41"
"S 0585-Y30R","s-0585-y30r","#fc8b11"
"S 1080-Y30R","s-1080-y30r","#e58722"
"S 2070-Y30R","s-2070-y30r","#d17e31"
"S 3060-Y30R","s-3060-y30r","#b77030"
"S 4050-Y30R","s-4050-y30r","#a1693a"
"S 0560-Y50R","s-0560-y50r","#fb965e"
"S 0570-Y50R","s-0570-y50r","#f28443"
"S 1070-Y50R","s-1070-y50r","#e77939"
"S 1080-Y50R","s-1080-y50r","#de6a27"
"S 2070-Y50R","s-2070-y50r","#cb6731"
"S 3060-Y50R","s-3060-y50r","#b16132"
"S 4050-Y50R","s-4050-y50r","#9e5a35"
"S 0560-Y70R","s-0560-y70r","#f28468"
"S 0570-Y70R","s-0570-y70r","#ed7355"
"S 1070-Y70R","s-1070-y70r","#dd684a"
"S 1080-Y70R","s-1080-y70r","#d35734"
"S 2070-Y70R","s-2070-y70r","#bd5236"
"S 3060-Y70R","s-3060-y70r","#a65440"
"S 4050-Y70R","s-4050-y70r","#924732"
"S 1060-Y90R","s-1060-y90r","#dc6f6b"
"S 1070-Y90R","s-1070-y90r","#d05754"
"S 1085-Y90R","s-1085-y90r","#bb3031"
"S 1580-Y90R","s-1580-y90r","#ae302f"
"S 2570-Y90R","s-2570-y90r","#973938"
"S 3560-Y90R","s-3560-y90r","#813937"
"S 4550-Y90R","s-4550-y90r","#6f3433"
"S 1060-R10B","s-1060-r10b","#d66b82"
"S 1070-R10B","s-1070-r10b","#c94f6a"
"S 1575-R10B","s-1575-r10b","#a92d4b"
"S 2070-R10B","s-2070-r10b","#9a2d47"
"S 3060-R10B","s-3060-r10b","#893146"
"S 4050-R10B","s-4050-r10b","#73313f"
"S 5040-R10B","s-5040-r10b","#612c37"
"S 1050-R30B","s-1050-r30b","#da87b3"
"S 1060-R30B","s-1060-r30b","#ce699f"
"S 2050-R30B","s-2050-r30b","#b76a93"
"S 2060-R30B","s-2060-r30b","#ae4e84"
"S 3050-R30B","s-3050-r30b","#9a5077"
"S 3055-R30B","s-3055-r30b","#8f3869"
"S 5040-R30B","s-5040-r30b","#682e4d"
"S 1050-R40B","s-1050-r40b","#ca8dc3"
"S 2050-R40B","s-2050-r40b","#ab6ca3"
