"RO 0","ro-0","#a57464"
"RO 1","ro-1","#be8e7c"
"RO 2","ro-2","#d2ac9c"
"RO 3","ro-3","#e0c2b0"
"RO 4","ro-4","#e5d1c1"
"GE 0","ge-0","#ba966c"
"GE 1","ge-1","#cba97e"
"GE 2","ge-2","#d5b58b"
"GE 3","ge-3","#dcc39d"
"GE 4","ge-4","#e8d7ba"
"GR 0","gr-0","#aba586"
"GR 1","gr-1","#b9b08f"
"GR 2","gr-2","#c4ba9b"
"GR 3","gr-3","#cdc4a7"
"GR 4","gr-4","#d6ceb4"
"BR 0","br-0","#987964"
"BR 1","br-1","#b0947f"
"BR 2","br-2","#bba18a"
"BR 3","br-3","#cdb59f"
"BR 4","br-4","#decebb"
"SC 0","sc-0","#6b6964"
"SC 1","sc-1","#918e8b"
"SC 2","sc-2","#aba8a3"
"SC 3","sc-3","#c6c3bc"
"SC 4","sc-4","#d5cfc5"
"WE 0","we-0","#f0eadc"
"ROGE 1-0","roge-1-0","#a77460"
"ROGE 1-1","roge-1-1","#c08f79"
"ROGE 1-2","roge-1-2","#d4ad98"
"ROGE 1-3","roge-1-3","#e6ceb9"
"ROGE 2-0","roge-2-0","#ac7d66"
"ROGE 2-1","roge-2-1","#c5997f"
"ROGE 2-2","roge-2-2","#d8b59d"
"ROGE 2-3","roge-2-3","#e5cbb6"
"ROGE 3-0","roge-3-0","#af8568"
"ROGE 3-1","roge-3-1","#c59d7f"
"ROGE 3-2","roge-3-2","#d4b094"
"ROGE 3-3","roge-3-3","#e0c5aa"
"ROGE 4-0","roge-4-0","#b58a68"
"ROGE 4-1","roge-4-1","#caa481"
"ROGE 4-2","roge-4-2","#d6b594"
"ROGE 4-3","roge-4-3","#e0c4a5"
"SCBR 1-0","scbr-1-0","#827569"
"SCBR 1-1","scbr-1-1","#9e9183"
"SCBR 1-2","scbr-1-2","#b4a796"
"SCBR 1-3","scbr-1-3","#cec2b4"
"SCBR 2-0","scbr-2-0","#87776a"
"SCBR 2-1","scbr-2-1","#9d8d7f"
"SCBR 2-2","scbr-2-2","#b8a897"
"SCBR 2-3","scbr-2-3","#d3c5b5"
"SCBR 3-0","scbr-3-0","#8e7765"
"SCBR 3-1","scbr-3-1","#a38f7d"
"SCBR 3-2","scbr-3-2","#bdab99"
"SCBR 3-3","scbr-3-3","#d3c4b2"
"SCBR 4-0","scbr-4-0","#927863"
"SCBR 4-1","scbr-4-1","#ac927b"
"SCBR 4-2","scbr-4-2","#c5ad97"
"SCBR 4-3","scbr-4-3","#dbc8b5"
"SCGE 1-0","scge-1-0","#8a7f6b"
"SCGE 1-1","scge-1-1","#a29780"
"SCGE 1-2","scge-1-2","#b8ad95"
"SCGE 1-3","scge-1-3","#cbc0aa"
"SCGE 2-0","scge-2-0","#96866a"
"SCGE 2-1","scge-2-1","#ae9d7f"
"SCGE 2-2","scge-2-2","#c3b394"
"SCGE 2-3","scge-2-3","#d5c6ab"
"SCGE 3-0","scge-3-0","#a28e70"
"SCGE 3-1","scge-3-1","#b8a281"
"SCGE 3-2","scge-3-2","#c5b190"
"SCGE 3-3","scge-3-3","#d6c6a8"
"SCGE 4-0","scge-4-0","#a98f6b"
"SCGE 4-1","scge-4-1","#bfa57f"
"SCGE 4-2","scge-4-2","#ceb690"
"SCGE 4-3","scge-4-3","#d9c7a7"
"BRGE 1-0","brge-1-0","#9e8168"
"BRGE 1-1","brge-1-1","#b6987b"
"BRGE 1-2","brge-1-2","#caaf93"
"BRGE 1-3","brge-1-3","#d8c1a7"
"BRGE 2-0","brge-2-0","#a6896e"
"BRGE 2-1","brge-2-1","#bb9e7f"
"BRGE 2-2","brge-2-2","#caae8f"
"BRGE 2-3","brge-2-3","#dbc4a8"
"BRGE 3-0","brge-3-0","#ab8969"
"BRGE 3-1","brge-3-1","#be9e7d"
"BRGE 3-2","brge-3-2","#ccaf8d"
"BRGE 3-3","brge-3-3","#dcc4a6"
"BRGE 4-0","brge-4-0","#b28f6c"
"BRGE 4-1","brge-4-1","#c4a47d"
"BRGE 4-2","brge-4-2","#d1b48e"
"BRGE 4-3","brge-4-3","#e0c8a6"
"GRGE 1-0","grge-1-0","#aea382"
"GRGE 1-1","grge-1-1","#c2b694"
"GRGE 1-2","grge-1-2","#d0c6a8"
"GRGE 1-3","grge-1-3","#dfd6bf"
"GRGE 2-0","grge-2-0","#b4a07b"
"GRGE 2-1","grge-2-1","#c4b28d"
"GRGE 2-2","grge-2-2","#d7c7a6"
"GRGE 2-3","grge-2-3","#ded1b4"
"GRGE 3-0","grge-3-0","#b99d71"
"GRGE 3-1","grge-3-1","#c9b28a"
"GRGE 3-2","grge-3-2","#d8c5a2"
"GRGE 3-3","grge-3-3","#e1d2b3"
"GRGE 4-0","grge-4-0","#b8996e"
"GRGE 4-1","grge-4-1","#c5aa7f"
"GRGE 4-2","grge-4-2","#d5bc96"
"GRGE 4-3","grge-4-3","#e0ceac"
"SCGE 1-0","scge-1-0","#8a897c"
"SCGE 1-1","scge-1-1","#a19e90"
"SCGE 1-2","scge-1-2","#b3b0a0"
"SCGE 1-3","scge-1-3","#d2cebe"
"SCGE 2-0","scge-2-0","#939180"
"SCGE 2-1","scge-2-1","#aca997"
"SCGE 2-2","scge-2-2","#c2bdab"
"SCGE 2-3","scge-2-3","#d7d2c0"
"SCGE 3-0","scge-3-0","#999782"
"SCGE 3-1","scge-3-1","#b2ae98"
"SCGE 3-2","scge-3-2","#c5c0a9"
"SCGE 3-3","scge-3-3","#dad4c1"
"SCGE 4-0","scge-4-0","#a29e85"
"SCGE 4-1","scge-4-1","#b8b399"
"SCGE 4-2","scge-4-2","#cac4ab"
"SCGE 4-3","scge-4-3","#d9d3bf"
"SCRO 1-0","scro-1-0","#a18e84"
"SCRO 1-1","scro-1-1","#9f8c81"
"SCRO 1-2","scro-1-2","#c0aea3"
"SCRO 1-3","scro-1-3","#daccbe"
"SCRO 2-0","scro-2-0","#886f64"
"SCRO 2-1","scro-2-1","#a4897d"
"SCRO 2-2","scro-2-2","#c7b0a3"
"SCRO 2-3","scro-2-3","#d9c8bc"
"SCRO 3-0","scro-3-0","#906d5f"
"SCRO 3-1","scro-3-1","#a17f71"
"SCRO 3-2","scro-3-2","#caaea0"
"SCRO 3-3","scro-3-3","#dbc6b8"
"SCRO 4-0","scro-4-0","#966c5d"
"SCRO 4-1","scro-4-1","#af8575"
"SCRO 4-2","scro-4-2","#caa796"
"SCRO 4-3","scro-4-3","#ddc3b5"
