"zero Color System F 200","zero-color-system-f-200","#edece3"
"zero Color System G 200","zero-color-system-g-200","#edebe1"
"zero Color System H 200","zero-color-system-h-200","#eeebe2"
"zero Color System J 200","zero-color-system-j-200","#f1ebe0"
"zero Color System K 200","zero-color-system-k-200","#f3edde"
"zero Color System L 200","zero-color-system-l-200","#f4f0e1"
"zero Color System M 200","zero-color-system-m-200","#edede0"
"zero Color System N 200","zero-color-system-n-200","#ebecde"
"zero Color System F016","zero-color-system-f016","#cee2e6"
"zero Color System G016","zero-color-system-g016","#bcd9e3"
"zero Color System H016","zero-color-system-h016","#93c6e1"
"zero Color System J016","zero-color-system-j016","#77b6d9"
"zero Color System K016","zero-color-system-k016","#2e8dc3"
"zero Color System L016","zero-color-system-l016","#0076b4"
"zero Color System M016","zero-color-system-m016","#004f81"
"zero Color System N016","zero-color-system-n016","#59a1c7"
"zero Color System S016","zero-color-system-s016","#96c0db"
"zero Color System V016","zero-color-system-v016","#c4d9e1"
"zero Color System X016","zero-color-system-x016","#af3e44"
"zero Color System Y016","zero-color-system-y016","#5d3636"
"zero Color System F017","zero-color-system-f017","#dee6e3"
"zero Color System G017","zero-color-system-g017","#c1dae3"
"zero Color System H017","zero-color-system-h017","#b2cfe1"
"zero Color System J017","zero-color-system-j017","#a4c4da"
"zero Color System K017","zero-color-system-k017","#719cc2"
"zero Color System L017","zero-color-system-l017","#006198"
"zero Color System M017","zero-color-system-m017","#1c3d5b"
"zero Color System N017","zero-color-system-n017","#4e7495"
"zero Color System S017","zero-color-system-s017","#88a0b5"
"zero Color System V017","zero-color-system-v017","#b5c4d0"
"zero Color System X017","zero-color-system-x017","#af2f2c"
"zero Color System Y017","zero-color-system-y017","#833d34"
"zero Color System F018","zero-color-system-f018","#cee1e7"
"zero Color System G018","zero-color-system-g018","#c5d7dd"
"zero Color System H018","zero-color-system-h018","#b5cdd9"
"zero Color System J018","zero-color-system-j018","#99b6c7"
"zero Color System K018","zero-color-system-k018","#799eb7"
"zero Color System L018","zero-color-system-l018","#648eac"
"zero Color System M018","zero-color-system-m018","#3d6381"
"zero Color System N018","zero-color-system-n018","#849dac"
"zero Color System S018","zero-color-system-s018","#bacad4"
"zero Color System V018","zero-color-system-v018","#d1dcdd"
"zero Color System X018","zero-color-system-x018","#d44a2f"
"zero Color System Y018","zero-color-system-y018","#b03330"
"zero Color System F021","zero-color-system-f021","#d7e0e5"
"zero Color System G021","zero-color-system-g021","#c5d5e1"
"zero Color System H021","zero-color-system-h021","#b4c8df"
"zero Color System J021","zero-color-system-j021","#a4bddd"
"zero Color System K021","zero-color-system-k021","#7998c9"
"zero Color System L021","zero-color-system-l021","#517aae"
"zero Color System M021","zero-color-system-m021","#2b2a44"
"zero Color System N021","zero-color-system-n021","#49678f"
"zero Color System S021","zero-color-system-s021","#7898bd"
"zero Color System V021","zero-color-system-v021","#8facc9"
"zero Color System X021","zero-color-system-x021","#e8d0bb"
"zero Color System Y021","zero-color-system-y021","#f48c1f"
"zero Color System F027","zero-color-system-f027","#dce1dd"
"zero Color System G027","zero-color-system-g027","#d0d8d7"
"zero Color System H027","zero-color-system-h027","#b8c3ca"
"zero Color System J027","zero-color-system-j027","#a4b1bc"
"zero Color System K027","zero-color-system-k027","#7f8f9e"
"zero Color System L027","zero-color-system-l027","#4d5c6f"
"zero Color System M027","zero-color-system-m027","#354455"
"zero Color System N027","zero-color-system-n027","#697789"
"zero Color System S027","zero-color-system-s027","#9da5ab"
"zero Color System V027","zero-color-system-v027","#b3b9bf"
"zero Color System X027","zero-color-system-x027","#fcca00"
"zero Color System Y027","zero-color-system-y027","#ffb301"
"zero Color System F029","zero-color-system-f029","#dce8e4"
"zero Color System G029","zero-color-system-g029","#d6e4e4"
"zero Color System H029","zero-color-system-h029","#c8dde3"
"zero Color System J029","zero-color-system-j029","#accad4"
"zero Color System K029","zero-color-system-k029","#7babbd"
"zero Color System L029","zero-color-system-l029","#007f94"
"zero Color System M029","zero-color-system-m029","#224d5b"
"zero Color System N029","zero-color-system-n029","#7f98a4"
"zero Color System S029","zero-color-system-s029","#c7d3d8"
"zero Color System V029","zero-color-system-v029","#d3dadc"
"zero Color System X029","zero-color-system-x029","#e7bf8c"
"zero Color System Y029","zero-color-system-y029","#daab73"
"zero Color System F030","zero-color-system-f030","#dae7e4"
"zero Color System G030","zero-color-system-g030","#c2dce5"
"zero Color System H030","zero-color-system-h030","#a4d6e5"
"zero Color System J030","zero-color-system-j030","#9ccada"
"zero Color System K030","zero-color-system-k030","#0093ad"
"zero Color System L030","zero-color-system-l030","#00788f"
"zero Color System M030","zero-color-system-m030","#004d5d"
"zero Color System N030","zero-color-system-n030","#688e9e"
"zero Color System S030","zero-color-system-s030","#9bb9c5"
"zero Color System V030","zero-color-system-v030","#c8d6d8"
"zero Color System X030","zero-color-system-x030","#ebc587"
"zero Color System Y030","zero-color-system-y030","#bd8b4a"
"zero Color System F031","zero-color-system-f031","#d0e5e6"
"zero Color System G031","zero-color-system-g031","#bad7d6"
"zero Color System H031","zero-color-system-h031","#9cc3c7"
"zero Color System J031","zero-color-system-j031","#64a1a6"
"zero Color System K031","zero-color-system-k031","#277d84"
"zero Color System L031","zero-color-system-l031","#005e61"
"zero Color System M031","zero-color-system-m031","#004a4e"
"zero Color System N031","zero-color-system-n031","#8badae"
