"zero Colorfassfarbe F 200","zero-colorfassfarbe-f-200","#f1f1e9"
"zero Colorfassfarbe G 200","zero-colorfassfarbe-g-200","#eeeee5"
"zero Colorfassfarbe H 200","zero-colorfassfarbe-h-200","#f0f0e9"
"zero Colorfassfarbe J 200","zero-colorfassfarbe-j-200","#f5f2e7"
"zero Colorfassfarbe K 200","zero-colorfassfarbe-k-200","#f4f2e7"
"zero Colorfassfarbe L 200","zero-colorfassfarbe-l-200","#f3f3e8"
"zero Colorfassfarbe M 200","zero-colorfassfarbe-m-200","#f2f5eb"
"zero Colorfassfarbe N 200","zero-colorfassfarbe-n-200","#ecf1ea"
"zero Colorfassfarbe F 157","zero-colorfassfarbe-f-157","#eeede8"
"zero Colorfassfarbe F 001","zero-colorfassfarbe-f-001","#dce7e9"
"zero Colorfassfarbe G 001","zero-colorfassfarbe-g-001","#bfd5da"
"zero Colorfassfarbe H 001","zero-colorfassfarbe-h-001","#a1b8c5"
"zero Colorfassfarbe J 001","zero-colorfassfarbe-j-001","#8ca6b5"
"zero Colorfassfarbe K 001","zero-colorfassfarbe-k-001","#7c909b"
"zero Colorfassfarbe L 001","zero-colorfassfarbe-l-001","#536a76"
"zero Colorfassfarbe N 001","zero-colorfassfarbe-n-001","#829bab"
"zero Colorfassfarbe S 001","zero-colorfassfarbe-s-001","#acc2ce"
"zero Colorfassfarbe V 001","zero-colorfassfarbe-v-001","#b6c9d3"
"zero Colorfassfarbe X 001","zero-colorfassfarbe-x-001","#e3b9a7"
"zero Colorfassfarbe Y 001","zero-colorfassfarbe-y-001","#d9805a"
"zero Colorfassfarbe F 002","zero-colorfassfarbe-f-002","#d2e3e6"
"zero Colorfassfarbe G 002","zero-colorfassfarbe-g-002","#c2d6e0"
"zero Colorfassfarbe H 002","zero-colorfassfarbe-h-002","#b1cddc"
"zero Colorfassfarbe J 002","zero-colorfassfarbe-j-002","#abc4d6"
"zero Colorfassfarbe K 002","zero-colorfassfarbe-k-002","#85a7be"
"zero Colorfassfarbe L 002","zero-colorfassfarbe-l-002","#6f8ca1"
"zero Colorfassfarbe M 002","zero-colorfassfarbe-m-002","#416482"
"zero Colorfassfarbe N 002","zero-colorfassfarbe-n-002","#aac5d2"
"zero Colorfassfarbe S 002","zero-colorfassfarbe-s-002","#bdd0dc"
"zero Colorfassfarbe V 002","zero-colorfassfarbe-v-002","#ccdbe1"
"zero Colorfassfarbe X 002","zero-colorfassfarbe-x-002","#efc88f"
"zero Colorfassfarbe Y 002","zero-colorfassfarbe-y-002","#d39b53"
"zero Colorfassfarbe F 003","zero-colorfassfarbe-f-003","#deeaec"
"zero Colorfassfarbe G 003","zero-colorfassfarbe-g-003","#c6d2db"
"zero Colorfassfarbe H 003","zero-colorfassfarbe-h-003","#b4c8d6"
"zero Colorfassfarbe J 003","zero-colorfassfarbe-j-003","#aabfcf"
"zero Colorfassfarbe K 003","zero-colorfassfarbe-k-003","#7893ae"
"zero Colorfassfarbe L 003","zero-colorfassfarbe-l-003","#435f7d"
"zero Colorfassfarbe N 003","zero-colorfassfarbe-n-003","#65788e"
"zero Colorfassfarbe S 003","zero-colorfassfarbe-s-003","#8399ad"
"zero Colorfassfarbe V 003","zero-colorfassfarbe-v-003","#b9c5ce"
"zero Colorfassfarbe X 003","zero-colorfassfarbe-x-003","#e5d4c4"
"zero Colorfassfarbe Y 003","zero-colorfassfarbe-y-003","#c17556"
"zero Colorfassfarbe F 004","zero-colorfassfarbe-f-004","#d5e2e3"
"zero Colorfassfarbe G 004","zero-colorfassfarbe-g-004","#c8dbe2"
"zero Colorfassfarbe H 004","zero-colorfassfarbe-h-004","#b7d0da"
"zero Colorfassfarbe J 004","zero-colorfassfarbe-j-004","#a5c1ce"
"zero Colorfassfarbe K 004","zero-colorfassfarbe-k-004","#7898aa"
"zero Colorfassfarbe L 004","zero-colorfassfarbe-l-004","#5b798d"
"zero Colorfassfarbe M 004","zero-colorfassfarbe-m-004","#365467"
"zero Colorfassfarbe N 004","zero-colorfassfarbe-n-004","#7595a4"
"zero Colorfassfarbe S 004","zero-colorfassfarbe-s-004","#b1c5cc"
"zero Colorfassfarbe V 004","zero-colorfassfarbe-v-004","#c1d0d5"
"zero Colorfassfarbe X 004","zero-colorfassfarbe-x-004","#dcd4c4"
"zero Colorfassfarbe F 005","zero-colorfassfarbe-f-005","#d5e8e9"
"zero Colorfassfarbe G 005","zero-colorfassfarbe-g-005","#c7e0e7"
"zero Colorfassfarbe H 005","zero-colorfassfarbe-h-005","#acd2e2"
"zero Colorfassfarbe J 005","zero-colorfassfarbe-j-005","#7cb4d4"
"zero Colorfassfarbe K 005","zero-colorfassfarbe-k-005","#007dac"
"zero Colorfassfarbe L 005","zero-colorfassfarbe-l-005","#1c698b"
"zero Colorfassfarbe M 005","zero-colorfassfarbe-m-005","#2c576b"
"zero Colorfassfarbe N 005","zero-colorfassfarbe-n-005","#83b3c6"
"zero Colorfassfarbe S 005","zero-colorfassfarbe-s-005","#b8d4de"
"zero Colorfassfarbe V 005","zero-colorfassfarbe-v-005","#d0e0e5"
"zero Colorfassfarbe X 005","zero-colorfassfarbe-x-005","#cfb79e"
"zero Colorfassfarbe Y 005","zero-colorfassfarbe-y-005","#c06f4d"
"zero Colorfassfarbe F 006","zero-colorfassfarbe-f-006","#dae9ed"
"zero Colorfassfarbe G 006","zero-colorfassfarbe-g-006","#cde2ed"
"zero Colorfassfarbe H 006","zero-colorfassfarbe-h-006","#afd6ed"
"zero Colorfassfarbe J 006","zero-colorfassfarbe-j-006","#98c4e3"
"zero Colorfassfarbe K 006","zero-colorfassfarbe-k-006","#75aed4"
"zero Colorfassfarbe L 006","zero-colorfassfarbe-l-006","#386c93"
"zero Colorfassfarbe N 006","zero-colorfassfarbe-n-006","#386282"
"zero Colorfassfarbe S 006","zero-colorfassfarbe-s-006","#76a5c4"
"zero Colorfassfarbe V 006","zero-colorfassfarbe-v-006","#91b7ce"
"zero Colorfassfarbe X 006","zero-colorfassfarbe-x-006","#d39673"
"zero Colorfassfarbe Y 006","zero-colorfassfarbe-y-006","#93634c"
"zero Colorfassfarbe F 007","zero-colorfassfarbe-f-007","#cbe5ed"
"zero Colorfassfarbe G 007","zero-colorfassfarbe-g-007","#bae0ee"
"zero Colorfassfarbe H 007","zero-colorfassfarbe-h-007","#8fc2e2"
"zero Colorfassfarbe J 007","zero-colorfassfarbe-j-007","#72abcc"
"zero Colorfassfarbe K 007","zero-colorfassfarbe-k-007","#5693b5"
"zero Colorfassfarbe L 007","zero-colorfassfarbe-l-007","#3b7497"
"zero Colorfassfarbe N 007","zero-colorfassfarbe-n-007","#679bb1"
"zero Colorfassfarbe S 007","zero-colorfassfarbe-s-007","#a9d4e6"
"zero Colorfassfarbe V 007","zero-colorfassfarbe-v-007","#bfe1eb"
"zero Colorfassfarbe X 007","zero-colorfassfarbe-x-007","#edd2ca"
"zero Colorfassfarbe Y 007","zero-colorfassfarbe-y-007","#724a3e"
"zero Colorfassfarbe F 008","zero-colorfassfarbe-f-008","#cae6ec"
"zero Colorfassfarbe G 008","zero-colorfassfarbe-g-008","#c1e0ea"
"zero Colorfassfarbe H 008","zero-colorfassfarbe-h-008","#b6dbe9"
"zero Colorfassfarbe J 008","zero-colorfassfarbe-j-008","#9dd2e7"
"zero Colorfassfarbe K 008","zero-colorfassfarbe-k-008","#53a4c0"
"zero Colorfassfarbe L 008","zero-colorfassfarbe-l-008","#1492ae"
"zero Colorfassfarbe M 008","zero-colorfassfarbe-m-008","#005670"
"zero Colorfassfarbe N 008","zero-colorfassfarbe-n-008","#85c4d8"
"zero Colorfassfarbe S 008","zero-colorfassfarbe-s-008","#97cfe2"
"zero Colorfassfarbe V 008","zero-colorfassfarbe-v-008","#a3d5e4"
"zero Colorfassfarbe X 008","zero-colorfassfarbe-x-008","#f8e3db"
"zero Colorfassfarbe Y 008","zero-colorfassfarbe-y-008","#6e5e52"
"zero Colorfassfarbe F 009","zero-colorfassfarbe-f-009","#c5e1e7"
