"zero Colorsystem F 200","zero-colorsystem-f-200","#f1f1e9"
"zero Colorsystem G 200","zero-colorsystem-g-200","#eeeee5"
"zero Colorsystem H 200","zero-colorsystem-h-200","#f0f0e9"
"zero Colorsystem J 200","zero-colorsystem-j-200","#f5f2e7"
"zero Colorsystem K 200","zero-colorsystem-k-200","#f4f2e7"
"zero Colorsystem L 200","zero-colorsystem-l-200","#f3f3e8"
"zero Colorsystem M 200","zero-colorsystem-m-200","#f2f5eb"
"zero Colorsystem N 200","zero-colorsystem-n-200","#ecf1ea"
"zero Colorsystem F 157","zero-colorsystem-f-157","#eeede8"
"zero Colorsystem M 168","zero-colorsystem-m-168","#343536"
"zero Colorsystem F 001","zero-colorsystem-f-001","#dce7e9"
"zero Colorsystem G 001","zero-colorsystem-g-001","#bfd5da"
"zero Colorsystem H 001","zero-colorsystem-h-001","#a1b8c5"
"zero Colorsystem J 001","zero-colorsystem-j-001","#8ca6b5"
"zero Colorsystem K 001","zero-colorsystem-k-001","#7c909b"
"zero Colorsystem L 001","zero-colorsystem-l-001","#536a76"
"zero Colorsystem M 001","zero-colorsystem-m-001","#29323b"
"zero Colorsystem N 001","zero-colorsystem-n-001","#829bab"
"zero Colorsystem S 001","zero-colorsystem-s-001","#acc2ce"
"zero Colorsystem V 001","zero-colorsystem-v-001","#b6c9d3"
"zero Colorsystem X 001","zero-colorsystem-x-001","#e3b9a7"
"zero Colorsystem Y 001","zero-colorsystem-y-001","#d9805a"
"zero Colorsystem F 002","zero-colorsystem-f-002","#d2e3e6"
"zero Colorsystem G 002","zero-colorsystem-g-002","#c2d6e0"
"zero Colorsystem H 002","zero-colorsystem-h-002","#b1cddc"
"zero Colorsystem J 002","zero-colorsystem-j-002","#abc4d6"
"zero Colorsystem K 002","zero-colorsystem-k-002","#85a7be"
"zero Colorsystem L 002","zero-colorsystem-l-002","#6f8ca1"
"zero Colorsystem M 002","zero-colorsystem-m-002","#416482"
"zero Colorsystem N 002","zero-colorsystem-n-002","#aac5d2"
"zero Colorsystem S 002","zero-colorsystem-s-002","#bdd0dc"
"zero Colorsystem V 002","zero-colorsystem-v-002","#ccdbe1"
"zero Colorsystem X 002","zero-colorsystem-x-002","#efc88f"
"zero Colorsystem Y 002","zero-colorsystem-y-002","#d39b53"
"zero Colorsystem F 003","zero-colorsystem-f-003","#deeaec"
"zero Colorsystem G 003","zero-colorsystem-g-003","#c6d2db"
"zero Colorsystem H 003","zero-colorsystem-h-003","#b4c8d6"
"zero Colorsystem J 003","zero-colorsystem-j-003","#aabfcf"
"zero Colorsystem K 003","zero-colorsystem-k-003","#7893ae"
"zero Colorsystem L 003","zero-colorsystem-l-003","#435f7d"
"zero Colorsystem M 003","zero-colorsystem-m-003","#23445f"
"zero Colorsystem N 003","zero-colorsystem-n-003","#65788e"
"zero Colorsystem S 003","zero-colorsystem-s-003","#8399ad"
"zero Colorsystem V 003","zero-colorsystem-v-003","#b9c5ce"
"zero Colorsystem X 003","zero-colorsystem-x-003","#e5d4c4"
"zero Colorsystem Y 003","zero-colorsystem-y-003","#c17556"
"zero Colorsystem F 004","zero-colorsystem-f-004","#d5e2e3"
"zero Colorsystem G 004","zero-colorsystem-g-004","#c8dbe2"
"zero Colorsystem H 004","zero-colorsystem-h-004","#b7d0da"
"zero Colorsystem J 004","zero-colorsystem-j-004","#a5c1ce"
"zero Colorsystem K 004","zero-colorsystem-k-004","#7898aa"
"zero Colorsystem L 004","zero-colorsystem-l-004","#5b798d"
"zero Colorsystem M 004","zero-colorsystem-m-004","#365467"
"zero Colorsystem N 004","zero-colorsystem-n-004","#7595a4"
"zero Colorsystem S 004","zero-colorsystem-s-004","#b1c5cc"
"zero Colorsystem V 004","zero-colorsystem-v-004","#c1d0d5"
"zero Colorsystem X 004","zero-colorsystem-x-004","#dcd4c4"
"zero Colorsystem Y 004","zero-colorsystem-y-004","#f49544"
"zero Colorsystem F 005","zero-colorsystem-f-005","#d5e8e9"
"zero Colorsystem G 005","zero-colorsystem-g-005","#c7e0e7"
"zero Colorsystem H 005","zero-colorsystem-h-005","#acd2e2"
"zero Colorsystem J 005","zero-colorsystem-j-005","#7cb4d4"
"zero Colorsystem K 005","zero-colorsystem-k-005","#007dac"
"zero Colorsystem L 005","zero-colorsystem-l-005","#1c698b"
"zero Colorsystem M 005","zero-colorsystem-m-005","#2c576b"
"zero Colorsystem N 005","zero-colorsystem-n-005","#83b3c6"
"zero Colorsystem S 005","zero-colorsystem-s-005","#b8d4de"
"zero Colorsystem V 005","zero-colorsystem-v-005","#d0e0e5"
"zero Colorsystem X 005","zero-colorsystem-x-005","#cfb79e"
"zero Colorsystem Y 005","zero-colorsystem-y-005","#c06f4d"
"zero Colorsystem F 006","zero-colorsystem-f-006","#dae9ed"
"zero Colorsystem G 006","zero-colorsystem-g-006","#cde2ed"
"zero Colorsystem H 006","zero-colorsystem-h-006","#afd6ed"
"zero Colorsystem J 006","zero-colorsystem-j-006","#98c4e3"
"zero Colorsystem K 006","zero-colorsystem-k-006","#75aed4"
"zero Colorsystem L 006","zero-colorsystem-l-006","#386c93"
"zero Colorsystem M 006","zero-colorsystem-m-006","#2a3952"
"zero Colorsystem N 006","zero-colorsystem-n-006","#386282"
"zero Colorsystem S 006","zero-colorsystem-s-006","#76a5c4"
"zero Colorsystem V 006","zero-colorsystem-v-006","#91b7ce"
"zero Colorsystem X 006","zero-colorsystem-x-006","#d39673"
"zero Colorsystem Y 006","zero-colorsystem-y-006","#93634c"
"zero Colorsystem F 007","zero-colorsystem-f-007","#cbe5ed"
"zero Colorsystem G 007","zero-colorsystem-g-007","#bae0ee"
"zero Colorsystem H 007","zero-colorsystem-h-007","#8fc2e2"
"zero Colorsystem J 007","zero-colorsystem-j-007","#72abcc"
"zero Colorsystem K 007","zero-colorsystem-k-007","#5693b5"
"zero Colorsystem L 007","zero-colorsystem-l-007","#3b7497"
"zero Colorsystem M 007","zero-colorsystem-m-007","#1d3d57"
"zero Colorsystem N 007","zero-colorsystem-n-007","#679bb1"
"zero Colorsystem S 007","zero-colorsystem-s-007","#a9d4e6"
"zero Colorsystem V 007","zero-colorsystem-v-007","#bfe1eb"
"zero Colorsystem X 007","zero-colorsystem-x-007","#edd2ca"
"zero Colorsystem Y 007","zero-colorsystem-y-007","#724a3e"
"zero Colorsystem F 008","zero-colorsystem-f-008","#cae6ec"
"zero Colorsystem G 008","zero-colorsystem-g-008","#c1e0ea"
"zero Colorsystem H 008","zero-colorsystem-h-008","#b6dbe9"
"zero Colorsystem J 008","zero-colorsystem-j-008","#9dd2e7"
"zero Colorsystem K 008","zero-colorsystem-k-008","#53a4c0"
"zero Colorsystem L 008","zero-colorsystem-l-008","#1492ae"
"zero Colorsystem M 008","zero-colorsystem-m-008","#005670"
"zero Colorsystem N 008","zero-colorsystem-n-008","#85c4d8"
"zero Colorsystem S 008","zero-colorsystem-s-008","#97cfe2"
"zero Colorsystem V 008","zero-colorsystem-v-008","#a3d5e4"
"zero Colorsystem X 008","zero-colorsystem-x-008","#f8e3db"
"zero Colorsystem Y 008","zero-colorsystem-y-008","#6e5e52"
"zero Colorsystem F 009","zero-colorsystem-f-009","#c5e1e7"
"zero Colorsystem G 009","zero-colorsystem-g-009","#b8dee8"
"zero Colorsystem H 009","zero-colorsystem-h-009","#7abbce"
"zero Colorsystem J 009","zero-colorsystem-j-009","#65abc2"
"zero Colorsystem K 009","zero-colorsystem-k-009","#4097b2"
"zero Colorsystem L 009","zero-colorsystem-l-009","#007994"
"zero Colorsystem M 009","zero-colorsystem-m-009","#145e77"
"zero Colorsystem N 009","zero-colorsystem-n-009","#5ca5c1"
"zero Colorsystem S 009","zero-colorsystem-s-009","#9fd0e2"
"zero Colorsystem V 009","zero-colorsystem-v-009","#cce4eb"
"zero Colorsystem X 009","zero-colorsystem-x-009","#e1d8c6"
"zero Colorsystem Y 009","zero-colorsystem-y-009","#c88d4c"
"zero Colorsystem F 010","zero-colorsystem-f-010","#d7e5e7"
"zero Colorsystem G 010","zero-colorsystem-g-010","#bcd5df"
"zero Colorsystem H 010","zero-colorsystem-h-010","#b4d0de"
"zero Colorsystem J 010","zero-colorsystem-j-010","#9dbdd0"
"zero Colorsystem K 010","zero-colorsystem-k-010","#88aabf"
"zero Colorsystem L 010","zero-colorsystem-l-010","#476e85"
"zero Colorsystem M 010","zero-colorsystem-m-010","#2d3b48"
"zero Colorsystem N 010","zero-colorsystem-n-010","#5d8aa0"
"zero Colorsystem S 010","zero-colorsystem-s-010","#93bacb"
"zero Colorsystem V 010","zero-colorsystem-v-010","#c7dee5"
"zero Colorsystem X 010","zero-colorsystem-x-010","#ffcf98"
"zero Colorsystem Y 010","zero-colorsystem-y-010","#cd8c61"
"zero Colorsystem F 011","zero-colorsystem-f-011","#cfe7e9"
"zero Colorsystem G 011","zero-colorsystem-g-011","#cae5ea"
"zero Colorsystem H 011","zero-colorsystem-h-011","#addcec"
"zero Colorsystem J 011","zero-colorsystem-j-011","#94cfe5"
"zero Colorsystem K 011","zero-colorsystem-k-011","#62bddf"
"zero Colorsystem L 011","zero-colorsystem-l-011","#0086ac"
