"zero Elastocryl F 200","zero-elastocryl-f-200","#f1f1e9"
"zero Elastocryl G 200","zero-elastocryl-g-200","#eeeee5"
"zero Elastocryl H 200","zero-elastocryl-h-200","#f0f0e9"
"zero Elastocryl J 200","zero-elastocryl-j-200","#f5f2e7"
"zero Elastocryl K 200","zero-elastocryl-k-200","#f4f2e7"
"zero Elastocryl L 200","zero-elastocryl-l-200","#f3f3e8"
"zero Elastocryl M 200","zero-elastocryl-m-200","#f2f5eb"
"zero Elastocryl N 200","zero-elastocryl-n-200","#ecf1ea"
"zero Elastocryl F 157","zero-elastocryl-f-157","#eeede8"
"zero Elastocryl F 001","zero-elastocryl-f-001","#dce7e9"
"zero Elastocryl G 001","zero-elastocryl-g-001","#bfd5da"
"zero Elastocryl H 001","zero-elastocryl-h-001","#a1b8c5"
"zero Elastocryl J 001","zero-elastocryl-j-001","#8ca6b5"
"zero Elastocryl K 001","zero-elastocryl-k-001","#7c909b"
"zero Elastocryl N 001","zero-elastocryl-n-001","#829bab"
"zero Elastocryl S 001","zero-elastocryl-s-001","#acc2ce"
"zero Elastocryl V 001","zero-elastocryl-v-001","#b6c9d3"
"zero Elastocryl X 001","zero-elastocryl-x-001","#e3b9a7"
"zero Elastocryl Y 001","zero-elastocryl-y-001","#d9805a"
"zero Elastocryl F 002","zero-elastocryl-f-002","#d2e3e6"
"zero Elastocryl G 002","zero-elastocryl-g-002","#c2d6e0"
"zero Elastocryl H 002","zero-elastocryl-h-002","#b1cddc"
"zero Elastocryl J 002","zero-elastocryl-j-002","#abc4d6"
"zero Elastocryl K 002","zero-elastocryl-k-002","#85a7be"
"zero Elastocryl L 002","zero-elastocryl-l-002","#6f8ca1"
"zero Elastocryl N 002","zero-elastocryl-n-002","#aac5d2"
"zero Elastocryl S 002","zero-elastocryl-s-002","#bdd0dc"
"zero Elastocryl V 002","zero-elastocryl-v-002","#ccdbe1"
"zero Elastocryl X 002","zero-elastocryl-x-002","#efc88f"
"zero Elastocryl Y 002","zero-elastocryl-y-002","#d39b53"
"zero Elastocryl F 003","zero-elastocryl-f-003","#deeaec"
"zero Elastocryl G 003","zero-elastocryl-g-003","#c6d2db"
"zero Elastocryl H 003","zero-elastocryl-h-003","#b4c8d6"
"zero Elastocryl J 003","zero-elastocryl-j-003","#aabfcf"
"zero Elastocryl S 003","zero-elastocryl-s-003","#8399ad"
"zero Elastocryl V 003","zero-elastocryl-v-003","#b9c5ce"
"zero Elastocryl X 003","zero-elastocryl-x-003","#e5d4c4"
"zero Elastocryl F 004","zero-elastocryl-f-004","#d5e2e3"
"zero Elastocryl G 004","zero-elastocryl-g-004","#c8dbe2"
"zero Elastocryl H 004","zero-elastocryl-h-004","#b7d0da"
"zero Elastocryl J 004","zero-elastocryl-j-004","#a5c1ce"
"zero Elastocryl K 004","zero-elastocryl-k-004","#7898aa"
"zero Elastocryl N 004","zero-elastocryl-n-004","#7595a4"
"zero Elastocryl S 004","zero-elastocryl-s-004","#b1c5cc"
"zero Elastocryl V 004","zero-elastocryl-v-004","#c1d0d5"
"zero Elastocryl X 004","zero-elastocryl-x-004","#dcd4c4"
"zero Elastocryl F 005","zero-elastocryl-f-005","#d5e8e9"
"zero Elastocryl G 005","zero-elastocryl-g-005","#c7e0e7"
"zero Elastocryl H 005","zero-elastocryl-h-005","#acd2e2"
"zero Elastocryl J 005","zero-elastocryl-j-005","#7cb4d4"
"zero Elastocryl N 005","zero-elastocryl-n-005","#83b3c6"
"zero Elastocryl S 005","zero-elastocryl-s-005","#b8d4de"
"zero Elastocryl V 005","zero-elastocryl-v-005","#d0e0e5"
"zero Elastocryl X 005","zero-elastocryl-x-005","#cfb79e"
"zero Elastocryl F 006","zero-elastocryl-f-006","#dae9ed"
"zero Elastocryl G 006","zero-elastocryl-g-006","#cde2ed"
"zero Elastocryl H 006","zero-elastocryl-h-006","#afd6ed"
"zero Elastocryl J 006","zero-elastocryl-j-006","#98c4e3"
"zero Elastocryl K 006","zero-elastocryl-k-006","#75aed4"
"zero Elastocryl S 006","zero-elastocryl-s-006","#76a5c4"
"zero Elastocryl V 006","zero-elastocryl-v-006","#91b7ce"
"zero Elastocryl X 006","zero-elastocryl-x-006","#d39673"
"zero Elastocryl F 007","zero-elastocryl-f-007","#cbe5ed"
"zero Elastocryl G 007","zero-elastocryl-g-007","#bae0ee"
"zero Elastocryl H 007","zero-elastocryl-h-007","#8fc2e2"
"zero Elastocryl J 007","zero-elastocryl-j-007","#72abcc"
"zero Elastocryl K 007","zero-elastocryl-k-007","#5693b5"
"zero Elastocryl S 007","zero-elastocryl-s-007","#a9d4e6"
"zero Elastocryl V 007","zero-elastocryl-v-007","#bfe1eb"
"zero Elastocryl X 007","zero-elastocryl-x-007","#edd2ca"
"zero Elastocryl F 008","zero-elastocryl-f-008","#cae6ec"
"zero Elastocryl G 008","zero-elastocryl-g-008","#c1e0ea"
"zero Elastocryl H 008","zero-elastocryl-h-008","#b6dbe9"
"zero Elastocryl J 008","zero-elastocryl-j-008","#9dd2e7"
"zero Elastocryl K 008","zero-elastocryl-k-008","#53a4c0"
"zero Elastocryl N 008","zero-elastocryl-n-008","#85c4d8"
"zero Elastocryl S 008","zero-elastocryl-s-008","#97cfe2"
"zero Elastocryl V 008","zero-elastocryl-v-008","#a3d5e4"
"zero Elastocryl X 008","zero-elastocryl-x-008","#f8e3db"
"zero Elastocryl F 009","zero-elastocryl-f-009","#c5e1e7"
"zero Elastocryl G 009","zero-elastocryl-g-009","#b8dee8"
"zero Elastocryl H 009","zero-elastocryl-h-009","#7abbce"
"zero Elastocryl J 009","zero-elastocryl-j-009","#65abc2"
"zero Elastocryl K 009","zero-elastocryl-k-009","#4097b2"
"zero Elastocryl N 009","zero-elastocryl-n-009","#5ca5c1"
