"zero Hydrosil F 200","f-200","#f1f1e9"
"zero Hydrosil G 200","g-200","#eeeee5"
"zero Hydrosil H 200","h-200","#f0f0e9"
"zero Hydrosil J 200","j-200","#f5f2e7"
"zero Hydrosil K 200","k-200","#f4f2e7"
"zero Hydrosil L 200","l-200","#f3f3e8"
"zero Hydrosil M 200","m-200","#f2f5eb"
"zero Hydrosil N 200","n-200","#ecf1ea"
"zero Hydrosil F 157","f-157","#eeede8"
"zero Hydrosil F 001","f-001","#dce7e9"
"zero Hydrosil G 001","g-001","#bfd5da"
"zero Hydrosil H 001","h-001","#a1b8c5"
"zero Hydrosil J 001","j-001","#8ca6b5"
"zero Hydrosil K 001","k-001","#7c909b"
"zero Hydrosil N 001","n-001","#829bab"
"zero Hydrosil S 001","s-001","#acc2ce"
"zero Hydrosil V 001","v-001","#b6c9d3"
"zero Hydrosil X 001","x-001","#e3b9a7"
"zero Hydrosil Y 001","y-001","#d9805a"
"zero Hydrosil F 002","f-002","#d2e3e6"
"zero Hydrosil G 002","g-002","#c2d6e0"
"zero Hydrosil H 002","h-002","#b1cddc"
"zero Hydrosil J 002","j-002","#abc4d6"
"zero Hydrosil K 002","k-002","#85a7be"
"zero Hydrosil L 002","l-002","#6f8ca1"
"zero Hydrosil N 002","n-002","#aac5d2"
"zero Hydrosil S 002","s-002","#bdd0dc"
"zero Hydrosil V 002","v-002","#ccdbe1"
"zero Hydrosil X 002","x-002","#efc88f"
"zero Hydrosil Y 002","y-002","#d39b53"
"zero Hydrosil F 003","f-003","#deeaec"
"zero Hydrosil G 003","g-003","#c6d2db"
"zero Hydrosil H 003","h-003","#b4c8d6"
"zero Hydrosil J 003","j-003","#aabfcf"
"zero Hydrosil S 003","s-003","#8399ad"
"zero Hydrosil V 003","v-003","#b9c5ce"
"zero Hydrosil X 003","x-003","#e5d4c4"
"zero Hydrosil F 004","f-004","#d5e2e3"
"zero Hydrosil G 004","g-004","#c8dbe2"
"zero Hydrosil H 004","h-004","#b7d0da"
"zero Hydrosil J 004","j-004","#a5c1ce"
"zero Hydrosil K 004","k-004","#7898aa"
"zero Hydrosil N 004","n-004","#7595a4"
"zero Hydrosil S 004","s-004","#b1c5cc"
"zero Hydrosil V 004","v-004","#c1d0d5"
"zero Hydrosil X 004","x-004","#dcd4c4"
"zero Hydrosil F 005","f-005","#d5e8e9"
"zero Hydrosil G 005","g-005","#c7e0e7"
"zero Hydrosil H 005","h-005","#acd2e2"
"zero Hydrosil J 005","j-005","#7cb4d4"
"zero Hydrosil N 005","n-005","#83b3c6"
"zero Hydrosil S 005","s-005","#b8d4de"
"zero Hydrosil V 005","v-005","#d0e0e5"
"zero Hydrosil X 005","x-005","#cfb79e"
"zero Hydrosil F 006","f-006","#dae9ed"
"zero Hydrosil G 006","g-006","#cde2ed"
"zero Hydrosil H 006","h-006","#afd6ed"
"zero Hydrosil J 006","j-006","#98c4e3"
"zero Hydrosil K 006","k-006","#75aed4"
"zero Hydrosil S 006","s-006","#76a5c4"
